"date","county","result","count"
2020-04-05,"Santa Clara","positive",48
2020-04-05,"Santa Clara","negative",401
2020-04-06,"Santa Clara","positive",64
2020-04-06,"Santa Clara","negative",379
2020-04-07,"Santa Clara","positive",42
2020-04-07,"Santa Clara","negative",450
2020-04-08,"Santa Clara","positive",36
2020-04-08,"Santa Clara","negative",616
2020-04-09,"Santa Clara","positive",55
2020-04-09,"Santa Clara","negative",587
2020-04-10,"Santa Clara","positive",66
2020-04-10,"Santa Clara","negative",582
2020-04-11,"Santa Clara","positive",69
2020-04-11,"Santa Clara","negative",534
2020-04-12,"Santa Clara","positive",44
2020-04-12,"Santa Clara","negative",412
2020-04-13,"Santa Clara","positive",53
2020-04-13,"Santa Clara","negative",326
2020-04-14,"Santa Clara","positive",46
2020-04-14,"Santa Clara","negative",568
2020-04-15,"Santa Clara","positive",36
2020-04-15,"Santa Clara","negative",530
2020-04-16,"Santa Clara","positive",38
2020-04-16,"Santa Clara","negative",600
2020-04-17,"Santa Clara","positive",18
2020-04-17,"Santa Clara","negative",579
2020-04-18,"Santa Clara","positive",31
2020-04-18,"Santa Clara","negative",501
2020-04-19,"Santa Clara","positive",14
2020-04-19,"Santa Clara","negative",248
2020-04-20,"Santa Clara","positive",10
2020-04-20,"Santa Clara","negative",170
2020-04-21,"Santa Clara","positive",18
2020-04-21,"Santa Clara","negative",492
2020-04-22,"Santa Clara","positive",7
2020-04-22,"Santa Clara","negative",345
2020-04-23,"Santa Clara","positive",23
2020-04-23,"Santa Clara","negative",999
2020-04-24,"Santa Clara","positive",38
2020-04-24,"Santa Clara","negative",957
2020-04-25,"Santa Clara","positive",22
2020-04-25,"Santa Clara","negative",850
2020-04-26,"Santa Clara","positive",5
2020-04-26,"Santa Clara","negative",706
2020-04-27,"Santa Clara","positive",0
2020-04-27,"Santa Clara","negative",700
2020-04-01,"Santa Cruz","positive",59
2020-04-01,"Santa Cruz","negative",794
2020-04-02,"Santa Cruz","positive",0
2020-04-02,"Santa Cruz","negative",0
2020-04-03,"Santa Cruz","positive",0
2020-04-03,"Santa Cruz","negative",0
2020-04-04,"Santa Cruz","positive",3
2020-04-04,"Santa Cruz","negative",0
2020-04-05,"Santa Cruz","positive",7
2020-04-05,"Santa Cruz","negative",0
2020-04-06,"Santa Cruz","positive",2
2020-04-06,"Santa Cruz","negative",0
2020-04-07,"Santa Cruz","positive",5
2020-04-07,"Santa Cruz","negative",0
2020-04-08,"Santa Cruz","positive",4
2020-04-08,"Santa Cruz","negative",879
2020-04-09,"Santa Cruz","positive",0
2020-04-09,"Santa Cruz","negative",0
2020-04-10,"Santa Cruz","positive",0
2020-04-10,"Santa Cruz","negative",0
2020-04-11,"Santa Cruz","positive",8
2020-04-11,"Santa Cruz","negative",615
2020-04-12,"Santa Cruz","positive",3
2020-04-12,"Santa Cruz","negative",52
2020-04-13,"Santa Cruz","positive",0
2020-04-13,"Santa Cruz","negative",0
2020-04-14,"Santa Cruz","positive",0
